job_id,seed,n_samples,n_grenades,duration_p10,duration_p50,build_up_p90,moe_lock_frac,all_kpp_pass
baseline_10M_adversarial_g3_n10000000,999,10000000,3,143.64779480931725,147.10530823271307,12.584893699357295,1.0,True
baseline_10M_g1_n10000000,43,10000000,1,159.91252066154357,185.4963960416402,12.584234691642296,1.0,True
baseline_10M_g2_n10000000,44,10000000,2,159.96666136909417,185.56679943531645,12.5845246370151,1.0,True
baseline_10M_g3_n10000000,45,10000000,3,159.98264316091925,185.5994685690929,12.583557869368104,1.0,True
baseline_10M_single_g1_duration_n10000000,51,10000000,1,159.89602707185955,185.51397296499528,12.585004516080286,1.0,True
baseline_10M_wind_calm_g3_n10000000,217,10000000,3,160.034248645453,185.62386468292664,12.584461749318406,1.0,True
baseline_10M_wind_high_g3_n10000000,208,10000000,3,159.95614221488137,185.56306124117702,12.58337445032761,1.0,True
baseline_10M_wind_moderate_g3_n10000000,210,10000000,3,160.00017197502135,185.60986332948312,12.584136312186388,1.0,True
convergence_seed_137_g3_n2000000,137,2000000,3,160.00548686362214,185.61079141761215,12.583694434255925,1.0,True
convergence_seed_2027_g3_n2000000,2027,2000000,3,159.99821977218602,185.58430287943014,12.583860716002091,1.0,True
convergence_seed_271_g3_n2000000,271,2000000,3,160.01545887740318,185.59100280641795,12.583198769835212,1.0,True
convergence_seed_4099_g3_n2000000,4099,2000000,3,160.02177328967824,185.6055824773356,12.5830816785116,1.0,True
convergence_seed_42_g3_n2000000,42,2000000,3,160.00284863704567,185.618620368424,12.583946032308257,1.0,True
convergence_seed_8191_g3_n2000000,8191,2000000,3,159.9895167950132,185.58294593658593,12.58438811347584,1.0,True
convergence_seed_999_g3_n2000000,999,2000000,3,160.01985951887727,185.58570175532412,12.585144905175161,1.0,True
sweep_alpha_pessimistic_g3_n2000000,603,2000000,3,159.85681831928085,185.45983409809605,12.581507270020966,1.0,True
sweep_alpha_tight_g3_n2000000,601,2000000,3,160.04378401116003,185.62044727478542,12.58611487761523,1.0,True
sweep_alpha_wide_g3_n2000000,602,2000000,3,159.9838527426824,185.57690291566698,12.586033331742984,1.0,True
sweep_burn_hi_3.6_g3_n2000000,536,2000000,3,182.85506221552143,202.77589590438532,12.583896366141307,1.0,True
sweep_burn_hi_3.8_g3_n2000000,538,2000000,3,174.66902941551268,196.70829939160038,12.586195808302593,1.0,True
sweep_burn_hi_4.0_g3_n2000000,540,2000000,3,167.04881464894342,191.0119220630168,12.58529875835516,1.0,True
sweep_burn_hi_4.2_g3_n2000000,542,2000000,3,159.97078337783117,185.6298972235689,12.584500100204998,1.0,True
sweep_burn_hi_4.4_g3_n2000000,544,2000000,3,152.38124184884543,175.67894049755782,12.584101907337542,1.0,True
sweep_temp_cold_g3_n2000000,680,2000000,3,169.91776179925827,195.14909806030215,12.582681375613735,1.0,True
sweep_temp_hot_g3_n2000000,735,2000000,3,152.8870415212485,175.567089826789,12.582607166749085,1.0,True
sweep_temp_nominal_g3_n2000000,705,2000000,3,159.54577526588227,183.45657785929228,12.58387506713773,1.0,True
sweep_vis_smoke_1.0_g3_n2000000,310,2000000,3,159.97450370045078,185.62257674397523,12.58597639144216,1.0,True
sweep_vis_smoke_1.1_g3_n2000000,311,2000000,3,159.97943227731602,185.5294515668433,12.584525289735156,1.0,True
sweep_vis_smoke_1.2_g3_n2000000,312,2000000,3,159.9973180182757,185.6004741596175,12.581350363939876,1.0,True
sweep_vis_smoke_1.3_g3_n2000000,313,2000000,3,160.00498776491253,185.62797354598075,12.584992641589015,1.0,True
sweep_vis_smoke_1.4_g3_n2000000,314,2000000,3,160.00732186547648,185.61207534589508,12.584015710096304,1.0,True
sweep_vis_smoke_1.5_g3_n2000000,315,2000000,3,160.00727023474198,185.6253783373399,12.584992909718776,1.0,True
sweep_vis_smoke_1.6_g3_n2000000,316,2000000,3,160.03836245556937,185.62669449261978,12.584242739344223,1.0,True
sweep_yield_lo_0.18_g3_n2000000,418,2000000,3,159.92718943298988,185.54250588740152,12.584879433126606,1.0,True
sweep_yield_lo_0.22_g3_n2000000,422,2000000,3,159.96554816381743,185.55796684427423,12.585068592275642,1.0,True
sweep_yield_lo_0.26_g3_n2000000,426,2000000,3,159.99155485775705,185.56595625374317,12.583188188160458,1.0,True
sweep_yield_lo_0.30_g3_n2000000,430,2000000,3,160.01851898304668,185.62845843975765,12.58338780673631,1.0,True
sweep_yield_lo_0.34_g3_n2000000,434,2000000,3,160.03773368006838,185.65029677904158,12.585129586182484,1.0,True
